Grapheme	IPA	BIPA	CLTS_Name
g!\!\	gǃǃ	gǃǃ	voiced_retroflex_click_consonant
M_x~:	ɯ̽̃ː	ɯ̽̃ː	long_nasalized_unrounded_near-close_near-back_vowel
7~:	ɤ̃ː	ɤ̃ː	long_nasalized_unrounded_close-mid_back_vowel
y:\	yˑ	yˑ	mid-long_rounded_close_front_vowel
tK_d_>	tɬ̪ʼ	tɬ̪ʼ	voiceless_dental_ejective_lateral_affricate_consonant
a~:	ãː	ãː	long_nasalized_unrounded_open_front_vowel
^3^1^2	³¹²	³¹²	contour_from-mid_via-low_to-mid-low_tone
c:	cː	cː	long_voiceless_palatal_stop_consonant
_$ht_d	ʰt̪	ʰt̪	pre-aspirated_voiceless_dental_stop_consonant
d0	d̥	d̥	devoiced_voiced_alveolar_stop_consonant
m_h\	mʱ	mʱ	breathy_voiced_bilabial_nasal_consonant
^4^2^3	⁴²³	⁴²³	contour_from-mid-high_via-mid-low_to-mid_tone
^5^1^4	⁵¹⁴	⁵¹⁴	contour_from-high_via-low_to-mid-high_tone
g_$h	gʰ	gʰ	aspirated_voiced_velar_stop_consonant
^3^3^5	³³⁵	³³⁵	rising_from-mid_via-mid_to-high_tone
r\_-	ɹ̠	ɹ̠	voiced_post-alveolar_approximant_consonant
l:	lː	lː	long_voiced_alveolar_lateral_approximant_consonant
b_n	bⁿ	bⁿ	with-nasal-release_voiced_bilabial_stop_consonant
t`_$h	ʈʰ	ʈʰ	aspirated_voiceless_retroflex_stop_consonant
I_":	ɪ̈ː	ɪ̈ː	long_unrounded_near-close_central_vowel
d_$h:	dʰː	dʰː	aspirated_long_voiced_alveolar_stop_consonant
dZ;	dʒʲ	dʒʲ	palatalized_voiced_post-alveolar_sibilant_affricate_consonant
ts_$h	tsʰ	tsʰ	aspirated_voiceless_alveolar_sibilant_affricate_consonant
b_h\:	bʱː	bʱː	long_breathy_voiced_bilabial_stop_consonant
^4^3^3	⁴³³	⁴³³	falling_from-mid-high_via-mid_to-mid_tone
J_=	ɲ̍	ɲ̍	syllabic_voiced_palatal_nasal_consonant
d0_}	d̥̚	d̥̚	unreleased_devoiced_voiced_alveolar_stop_consonant
^2^1^4	²¹⁴	²¹⁴	contour_from-mid-low_via-low_to-mid-high_tone
^2^3^1	²³¹	²³¹	contour_from-mid-low_via-mid_to-low_tone
J:	ɲː	ɲː	long_voiced_palatal_nasal_consonant
D:	ðː	ðː	long_voiced_dental_fricative_consonant
_$ht_d_$h	ʰt̪ʰ	ʰt̪ʰ	pre-aspirated_aspirated_voiceless_dental_stop_consonant
gO\[?]	gʘ	gʘ	voiced_labial_click_consonant
x_>	xʼ	xʼ	voiceless_velar_ejective_fricative_consonant
s_d_>	s̪ʼ	s̪ʼ	voiceless_dental_ejective_sibilant_fricative_consonant
dZ_h\	dʒʱ	dʒʱ	breathy_voiced_post-alveolar_sibilant_affricate_consonant
d:Z	dːʒ	dːʒ	long_voiced_post-alveolar_sibilant_affricate_consonant
^5^1	⁵¹	⁵¹	falling_from-high_to-low_tone
d_$h	dʰ	dʰ	aspirated_voiced_alveolar_stop_consonant
^5^5^3	⁵⁵³	⁵⁵³	falling_from-high_via-high_to-mid_tone
N!\	ŋǃ	ŋǃ	voiced_alveolar_nasal-click_consonant
tK_d	tɬ̪	tɬ̪	voiceless_dental_lateral_affricate_consonant
d_dK\	d̪ɮ	d̪ɮ	voiced_dental_lateral_affricate_consonant
}_k	ʉ̰	ʉ̰	creaky_rounded_close_central_vowel
s_d;	s̪ʲ	s̪ʲ	palatalized_voiceless_dental_sibilant_fricative_consonant
o_o:	o̞ː	o̞ː	long_rounded_mid_back_vowel
^4^2^5	⁴²⁵	⁴²⁵	contour_from-mid-high_via-mid-low_to-high_tone
d_k	d̰	d̰	creaky_voiced_alveolar_stop_consonant
n;	nʲ	nʲ	palatalized_voiced_alveolar_nasal_consonant
V~	ʌ̃	ʌ̃	nasalized_unrounded_open-mid_back_vowel
@_X	ə̆	ə̆	ultra-short_unrounded_mid_central_vowel
l`_0	ɭ̊	ɭ̊	devoiced_voiced_retroflex_lateral_approximant_consonant
v;	vʲ	vʲ	palatalized_voiced_labio-dental_fricative_consonant
r0	r̥	r̥	devoiced_voiced_alveolar_trill_consonant
ts:	tsː	tsː	long_voiceless_alveolar_sibilant_affricate_consonant
s:	sː	sː	long_voiceless_alveolar_sibilant_fricative_consonant
k;	kʲ	kʲ	palatalized_voiceless_velar_stop_consonant
i:	iː	iː	long_unrounded_close_front_vowel
b_<;	ɓʲ	ɓʲ	palatalized_voiced_bilabial_implosive_consonant
w:	wː	wː	long_voiced_labio-velar_approximant_consonant
t_?\	tˤ	tˤ	pharyngealized_voiceless_alveolar_stop_consonant
q_w_$h	qʷʰ	qʷʰ	labialized_aspirated_voiceless_uvular_stop_consonant
@:	əː	əː	long_unrounded_mid_central_vowel
t`_$h:	ʈʰː	ʈʰː	aspirated_long_voiceless_retroflex_stop_consonant
m;	mʲ	mʲ	palatalized_voiced_bilabial_nasal_consonant
t_-	t̠	t̠	voiceless_post-alveolar_stop_consonant
^2^4	²⁴	²⁴	rising_from-mid-low_to-mid-high_tone
^3^3^1	³³¹	³³¹	falling_from-mid_via-mid_to-low_tone
^3^5^1	³⁵¹	³⁵¹	contour_from-mid_via-high_to-low_tone
k_w_$h	kʷʰ	kʷʰ	labialized_aspirated_voiceless_velar_stop_consonant
tK_d_$h	tɬ̪ʰ	tɬ̪ʰ	aspirated_voiceless_dental_lateral_affricate_consonant
d_d_n	d̪ⁿ	d̪ⁿ	with-nasal-release_voiced_dental_stop_consonant
V_t~	ʌ̤̃	ʌ̤̃	nasalized_breathy_unrounded_open-mid_back_vowel
q_w	qʷ	qʷ	labialized_voiceless_uvular_stop_consonant
z_d0	z̪̥	z̪̥	devoiced_voiced_dental_sibilant_fricative_consonant
qX	qχ	qχ	voiceless_uvular_affricate_consonant
k_>	kʼ	kʼ	voiceless_velar_ejective_stop_consonant
O_(	ɔ̯	ɔ̯	non-syllabic_rounded_open-mid_back_vowel
tc\:	tɕː	tɕː	long_voiceless_alveolo-palatal_sibilant_affricate_consonant
L\0	ʟ̥	ʟ̥	devoiced_voiced_velar_lateral_approximant_consonant
l_h\	lʱ	lʱ	breathy_voiced_alveolar_lateral_approximant_consonant
ts;	tsʲ	tsʲ	palatalized_voiceless_alveolar_sibilant_affricate_consonant
f_w:	fʷː	fʷː	labialized_long_voiceless_labio-dental_fricative_consonant
^5^1^2	⁵¹²	⁵¹²	contour_from-high_via-low_to-mid-low_tone
ts_d:	ts̪ː	ts̪ː	long_voiceless_dental_sibilant_affricate_consonant
^5^2^3	⁵²³	⁵²³	contour_from-high_via-mid-low_to-mid_tone
k_w	kʷ	kʷ	labialized_voiceless_velar_stop_consonant
g_0	g̊	g̊	devoiced_voiced_velar_stop_consonant
^4^5^5	⁴⁵⁵	⁴⁵⁵	rising_from-mid-high_via-high_to-high_tone
i::	iːː	iːː	ultra-long_unrounded_close_front_vowel
o_t	o̤	o̤	breathy_rounded_close-mid_back_vowel
N_0=\	ŋ̊ǂ	ŋ̊ǂ	devoiced_voiced_palatal_nasal-click_consonant
